curso_academico,des_provincia_centro_sec,nota_media,nota_minima,percentil_25,percentil_50,percentil_75
2020-21,Zaragoza,11.158175824175824,7.54,9.8505,11.002,12.562999999999999
2020-21,Álava,11.581541666666666,6.64,10.853,12.068,13.333
2020-21,Ávila,10.834272727272726,5.504,9.642,11.145,12.1245
2021-22,La Coruña,11.788677966101694,5.28,10.974,12.32,13.116
2021-22,Albacete,11.353036585365853,5.426,10.805250000000001,11.865,12.66875
2021-22,Alicante,11.639396313364054,6.01,10.848,11.85,12.728
2021-22,Almería,12.522627906976744,6.79,12.051,13.087,13.406
2021-22,Asturias,11.856793103448275,5.506,11.174,12.418,13.295
2021-22,Badajoz,12.094896265560166,5.15,11.036,12.557,13.354
2021-22,Barcelona,10.301340909090909,5.686,8.936,10.455,11.6135
2021-22,Burgos,11.784968503937009,6.341,11.105,12.04,12.908999999999999
2021-22,Cantabria,11.939369565217392,5.972,11.123,12.217,13.2255
2021-22,Castellón,11.062000000000001,6.998,9.409500000000001,11.5395,12.914000000000001
2021-22,Ceuta,10.786,6.834,9.465,11.258,12.16
2021-22,Ciudad Real,11.530695238095237,5.15,10.649999999999999,11.915,12.82925
2021-22,Cuenca,11.174970297029704,5.675,9.893,11.535,12.711
2021-22,Cáceres,11.660717171717172,5.829,10.4885,12.1695,13.095500000000001
2021-22,Cádiz,11.594563953488372,5.351,10.3405,12.239,13.234
2021-22,Córdoba,11.747219512195123,5.92,10.803,12.5,13.20675
2021-22,Gerona,12.358444444444444,8.246,12.52,12.634,13.076
2021-22,Granada,11.78614,5.704,10.684000000000001,12.1355,13.19875
2021-22,Guadalajara,10.46653582554517,5.214,8.95,10.821,12.142
2021-22,Gipuzkoa,10.920442307692309,5.79,9.508000000000001,11.561,12.533999999999999
2021-22,Huelva,11.662881355932203,6.11,10.5435,12.178,13.260000000000002
2021-22,Huesca,11.469358208955224,6.316,10.755500000000001,11.725,12.7125
2021-22,Baleares,10.786857142857142,5.392,9.592,11.076,12.305
2021-22,Jaén,11.791758333333332,5.5,11.00825,12.191500000000001,13.2425
2021-22,La Rioja,11.671496183206106,6.388,10.8305,12.081,12.887
2021-22,Las Palmas,11.733347305389222,5.019,10.5835,12.1885,13.193
2021-22,León,11.569541353383459,5.24,10.765,11.911,13.05
2021-22,Lérida,10.840333333333334,7.039,9.326,11.168,12.3
2021-22,Lugo,12.192245283018867,8.08,11.01,12.64,13.44
2021-22,Madrid,10.533396808173968,5.0,9.273,10.741,12.060500000000001
2021-22,Melilla,11.62378947368421,6.643,11.137,12.466,12.9025
2021-22,Murcia,12.10248409893993,5.478,11.3895,12.653,13.327
2021-22,Málaga,11.847394849785408,5.813,11.13,12.333,13.15
2021-22,Navarra,11.071291666666667,5.73,10.08025,11.3265,12.42825
2021-22,Orense,11.486058823529412,6.76,10.7935,11.95,12.705
2021-22,Palencia,10.12867554479419,5.143,8.401,10.079,12.032
2021-22,Pontevedra,11.380872727272727,5.16,10.6,11.78,12.686
2021-22,Salamanca,11.861720930232558,6.8,11.719,12.115,12.733
2021-22,Santa Cruz de Tenerife,12.046987012987014,6.061,11.33225,12.426,13.32475
2021-22,Segovia,10.340870292887029,5.187,9.019,10.4545,11.877749999999999
2021-22,Sevilla,11.694785123966941,5.226,10.9,12.22,13.225
2021-22,Soria,10.669584269662922,5.271,9.2095,10.9725,12.26525
2021-22,Tarragona,10.699565217391305,8.14,9.88,10.406,11.608
2021-22,Teruel,11.451307692307692,9.48,10.9,11.03,12.329
2021-22,Toledo,11.277892063492065,5.056,10.116,11.562,12.647
2021-22,Valencia,11.0893359375,5.4,10.11225,11.369,12.2945
2021-22,Valladolid,10.471541967759867,5.0,8.944,10.556,12.274
2021-22,Bizkaia,10.58605357142857,5.636,8.974499999999999,11.597999999999999,12.676
2021-22,Zamora,11.411810810810811,8.152,10.756,11.558,12.591
2021-22,Zaragoza,12.052072222222222,7.033,11.154,12.341999999999999,13.295499999999999
2021-22,Álava,11.090228571428572,5.526,9.778,11.534,12.513
